category,question_id,question,answer,faq_url
Order,55bf683aab00003800e35487,what should i do if i don't get the invoice for my order?,"sellers send a hard copy of the invoice in the shipments. a soft copy is also emailed to you within 24 hours of delivery in the delivery confirmation email sent to your registered email id.
you can also visit my account › my orders page to get invoices for your orders.
",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf683aab00003800e35487&view=FAQ
Order,55c042d66000003100cb5061,how do i get invoices for my previous orders without having to check my e-mails?,"you can easily send invoices to your email id from your flipkart account. to do so, visit my account › orders, choose the order for which you'd like the invoice for and click on the 'e-mail invoice' option.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55c042d66000003100cb5061&view=FAQ
Order,55bf2c98d00000420011ff95,should i call flipkart's customer care for installation once my product is delivered?,"to make sure that you have a smooth and hassle-free experience, the installation is automatically arranged for your product by the seller within 2-5 business after the item is delivered. you will also get an sms with the exact installation details after delivery.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2c98d00000420011ff95&view=FAQ
Order,55bf2e01bc00003a005be759,"will my product be installed by the brand or flipkart? if it is installed by flipkart, will it affect the warranty of the product?","your product will be installed by the brand's authorised service partner. rest assured, the warranty for the product will not be affected when an item is installed by the authorised partners.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2e01bc00003a005be759&view=FAQ
Order,55bf19ad1f00002b007dbea2,how will my order be delivered?,all orders are shipped by sellers through courier services who deliver the packages to your doorstep or the nearest pick-up store if the option is selected.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf19ad1f00002b007dbea2&view=FAQ
Order,55bf0ebbab00003400e3546d,why is the 'cash on delivery' payment mode not available at my location?,availability of the 'cash on delivery' payment mode depends on the courier services delivering to your location. please enter your pincode on the product page to check if this payment mode is available at your location. courier service providers also have limits on the amount you can pay through cash on delivery based on the destination and your order could have exceeded this limit.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf0ebbab00003400e3546d&view=FAQ
Order,55bf420fab00004500e3547c,where can i find the seller's returns policy?,you can see the respective seller's returns policy on the product page.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf420fab00004500e3547c&view=FAQ
Order,55bf14c5bc000026005be756,what does the tag 'imported' beside a product mean?,sometimes items have to be sourced by sellers from their international partners. such items have the tag 'imported' on the product page and can take at least 10 or more days to be delivered.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf14c5bc000026005be756&view=FAQ
Order,569355861200003e001dfc6c,how can i place an order?,"to place an order, please follow these steps:
1. select the product you'd like to buy and 'check availability at' your preferred pincode2. add products to your cart or just hit 'buy now' 3. choose or 'add delivery address'. use a preferred payment mode and confirm the order",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=569355861200003e001dfc6c&view=FAQ
Order,55f2a7885b00002500320358,i have a complaint about the courier executive who came to deliver my order.,you can contact our customer support team with the details and we will get in touch with the courier service provider to resolve your complaint.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a7885b00002500320358&view=FAQ
Order,55f2a8665b00001e003203e5,what should i do if a service centre denied my request to repair the product?,please contact our customer support with the service centre details so that we can look into this.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a8665b00001e003203e5&view=FAQ
Order,55bf25ed1f000010007dbea4,can i get my order delivered faster?,your order will get delivered on or before the delivery date promised at the time of placing the order.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf25ed1f000010007dbea4&view=FAQ
Order,55bf285d1f000019007dbea7,how is a 'business day' different from a regular day?,"business days are otherwise known as working days of the week. the expected date of delivery is calculated based on business days. typically, these include monday through saturday. public holidays and sundays are usually not considered.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf285d1f000019007dbea7&view=FAQ
Order,55bf0b5bd00000220011ff8a,what is the estimated delivery time?,"sellers generally procure and ship the items within the time specified on the product page. business days exclude public holidays and sundays. estimated delivery time depends on the following factors:
- the seller offering the product- product's availability with the seller- the destination to which you want the order shipped to and location of the seller
you can check the expected delivery date of your order(s) on the 'my orders' section of your flipkart account on our website, app, or mobile site.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf0b5bd00000220011ff8a&view=FAQ
Order,59f85092140000290063b07c,how can i trust that the groceries that will be delivered are quality checked and fresh?,"groceries on flipkart are available from top brands such as hul, p&g, itc etc. which are renowned for their quality products. seller also checks the freshness of groceries when they receive the stock from vendors and before the dispatch of items in order to ensure that only the best produce and packaged groceries reach you. ",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=59f85092140000290063b07c&view=FAQ
Order,5b34dce2120000300088ac3d,"my package shows as delivered but i can't find it, what should i do?","if your tracking information shows that your package was delivered, but you can't find it: check your phone for any notification about attempted delivery.see if any of your neighbours/friends/relatives/house owner/security guard has collected your product on your behalf.wait until the end of the day— sometimes packages can show as delivered while still in transit. in the unlikely event of you still not being able to locate your item, please contact us and we will be happy to help.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=5b34dce2120000300088ac3d&view=FAQ
Order,5b34de6c4c000014004388d8,why was my package not delivered?,"sometimes, a package cannot be delivered due to one of the following reasons: incorrect address: if the address is incorrect or outdated, the package is usually returned to the seller by the courier service provider or the unintended recipient. please double-check your address carefully when placing a new order. to remove an outdated or incorrect address from your account, go to my account > my addresses. click on the 3-dot button beside the address you want to modify and select 'edit' and then choose 'save changes'.
other address problems: in rare cases, it is also possible that the address label was difficult to decipher during the shipping and handling process, or that the courier service left the package at a different address than what was printed on the label.
failed delivery attempts: most of the seller's partnered courier service providers make more than one attempt to deliver a package. if nobody is available to accept the delivery after multiple attempts, the package is returned to the seller.
damaged during transit: if a package is damaged on its way to you, the courier service provider will return it to the seller without attempting delivery.
note: a package once returned to the seller cannot be delivered again by the courier service provider. please place a new order on our website or app if you would still like to purchase the item.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=5b34de6c4c000014004388d8&view=FAQ
Order,5b34e1fe6e00003d00124ecb,what do the different order statuses in 'my orders' mean?,"the different order statuses are as mentioned below:

approved: order you have placed for an item is confirmed by the seller
ready to ship: your item is packed and ready for pick up by a courier service provider 
dispatched: your item has been picked up from the seller by the courier service provider and is on its way to a logistic facility
shipped: your item is on its way to you
out for delivery: a wish master is out to deliver your order
delivered: your item has been delivered
return requested: you have created a return request for the item which is pending confirmation from the seller
returned: you have returned the item for refund/replacement/exchange
",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=5b34e1fe6e00003d00124ecb&view=FAQ
Order,5f606acfa89c8627ddd09653,what is gstin invoicing feature?,"through gstin invoicing feature customers can enter their business entity details and gstin associated with the business entity in order to receive a tax invoice containing these details to claim input tax credit. please note, this is available on select products for business purchases sold by participating sellers.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=5f606acfa89c8627ddd09653&view=FAQ
Order,5f606b1efd60311af5255f1d,who are all eligible for this gstin feature?,"

customers that have gstin registered for their business entity can avail this feature. please note that this is currently available on select products for business purchases sold by participating sellers. customers can enter gstin and business entity name while placing the order to receive a tax invoice containing these details to claim input tax credit.

",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=5f606b1efd60311af5255f1d&view=FAQ
Cancellations and Returns,564974431900003000fe6504,"if i request for a replacement, when will i get it?","visit my orders to check the status of your replacement.
in most locations, the replacement item is delivered to you at the time of pick-up. in all other areas, the replacement is initiated after the originally delivered item is picked up. please check the sms & email we send you for your replacement request for more details.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=564974431900003000fe6504&view=FAQ
Cancellations and Returns,57c004ff6b00002700db6b55,which products are not eligible for returns?,"the following table contains a list of products that are not eligible for returns as per the seller’s returns policy:
 




category


products that can’t be returned




auto accessories


additives, air fresheners, brighteners, cleaners, bike/car stickers, degreasers, dent/scratch removers, filler putty, headlight vinyl films, liquid solutions, lubricants, polish, power steering fluids, sealants, oils and wax




automobiles


cars, mopeds, motorcycles and scooters




bath and spa


bath bubble/salt/sponge/wash, body wash, loofahs, scrubs, shampoos and soaps




baby care


bottle nipples, breast nipple care, breast pumps, diapers, ear syringes, nappy, wet reminder, wipes and wipe warmers




cleaning products


cleaning gels, detergents, detergent pods, fabric wash products, surface cleaners, stain removers and washing bars/powder




computer accessories


blank/educational media, cds/dvds, ink toners, music, movies and software




food and nutrition


canned food, condiments, drinks, fruits, health supplements, meat, seafood, syrups, vegetables and other edible products




fashion


baby dolls, clothing freebies, lingerie wash-bags, shapewear, socks, stockings and swimsuits




footwear accessories


oils, glue, grease, socks, shoe deodorants/polish creams/sprays and wax




gardening products


plant saplings, plant seeds and soil manure




health care


antiseptic, band aid, body pain relief, eye drops, first aid tape, glucometer lancet/strip, healthcare devices and kits, medical dressing/gloves and ph test strip




home products


adhesives, barbeque wood, bird/insect repellent, contact cement, crack fillers, inks, guitar/yoyo friction stickers, marker refills, mosquito coil/vaporiser/vaporiser refills, naphthalene balls, scuba/smoking-pipe mouthpieces and sprays




hygiene


cannula, contact lens, e-hookah, fake moustache, female urination devices, menstrual cups, needles, panty liners, shaving products, smoking patch, straws, sweat pads, tampons, teeth whitening products/wipes, tissues, toilet tissue aid, toilet rolls and women intimate care




innerwear


bra accessories, briefs, boxers, lingerie sets, panty, garter, trunks and vests




jewellery


coins




music instrument accessories


mouthpiece cap/pad/set, oils and polish




party supplies


balloons, candles, cut-outs, decoration articles and whistles




festive supplies


hookah charcoal/flavor/mouth-tip, incense sticks and holi/rangoli color




personal care


conditioners, creams, deodorants, electric ear cleaners, eyebrow/eyelash/hair styling products, eye mask, face wash, face care/fairness products, fragrance, fresheners, gels, hair care, kajal, lens solution, lip plumper/stain, blackhead/makeup/nail paint removers, mascara, mehendi, nail sanding pad, oils, oral hygiene products, perfumes, hand/toothbrush sanitizers, serums, talc, sunscreen, tanning liquid, tattoo, toners and wigs




pet supplies


aquarium consumables, hair styling, health care/medicinal products, horse girth/grooming kit/braid tail bag/hay/liniment/poultice, inhaler masks, litter box enclosures, litter scoops, pet chew, pet food/treat, pet pad, pet hygiene/personal care products, poultice, tail wraps, waste bags and water troughs




sexual wellness


condoms, fertility kit/supplement, lubricants, pregnancy kits, sexual massagers, sexual/pleasure enhancement products and vaginal dilators




 
kindly always check a product's returns policy on the product page. click here to view the returns policy.
 ",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=57c004ff6b00002700db6b55&view=FAQ
Cancellations and Returns,56496ed62600003100c2cb21,can items be returned after the time period mentioned in the seller's returns policy?,"no, sellers will not be able to accept returns after the time period mentioned in the seller's returns policy.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=56496ed62600003100c2cb21&view=FAQ
Cancellations and Returns,55bf4931d000004a0011ffa7,do i have to return the freebie when i return a product?,"yes, the freebie has to be returned along with the product.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf4931d000004a0011ffa7&view=FAQ
Cancellations and Returns,5757fa401200003900ea6a35,how do returns work?,"you can raise a request to return your items with these simple steps:
 
1. log into your flipkart account
2. go to my orders
3. click on 'return' against the item you wish to return or exchange
4. fill in the details and raise a return request
 
once you raise a request, you'll get an email and sms confirming that your request is being processed. based on the item, your request may be automatically approved or you may be contacted for more details. if the request is approved, the item will be picked up after which you will get a replacement or refund. you can also track the status of your return request instantly from the 'my orders' section of your flipkart account.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=5757fa401200003900ea6a35&view=FAQ
Cancellations and Returns,55bf6443bc00002b005be762,i see the 'cancel' button but i can't click on it. why?,a greyed out and disabled 'cancel' button can mean any one of the following:1. the item has been delivered alreadyor2. the item is non-refundable (e.g. gift card),https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf6443bc00002b005be762&view=FAQ
Cancellations and Returns,55bf4269bc000042005be75f,what is the buyer protection policy?,"the buyer protection policy mediates buyer-seller disputes. in case a seller declines your request for a return of an item and you are not convinced with the reason given, you can write to us at resolution@flipkart.com for buyer protection. you can dispute the resolution that the seller has shared for your issue until 45 days from the date of delivery and concern is looked into by us on a case-to-case basis.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf4269bc000042005be75f&view=FAQ
Cancellations and Returns,56496efd2200002100e9f999,what should i do if i have an issue with my product after the return period?,you can get in touch with the brand or an authorised service centre of the brand to claim the warranty for your product (wherever applicable).,https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=56496efd2200002100e9f999&view=FAQ
Cancellations and Returns,55bf6716bc00002f005be763,how can i return or exchange an item?,"to return/exchange your order, follow these simple steps: 
1. go to my orders 
2. choose the item you wish to return or exchange 
3. fill in the details 
4. choose request return.  

 ",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf6716bc00002f005be763&view=FAQ
Cancellations and Returns,55bf4368ab00003100e3547e,when is a return of an item not possible?,"sellers cannot accept returns of item(s) in the following cases:
1. when an item is damaged because of use or when it is not in the same condition as you received it2. when any consumable item has been used or installed3. when anything is missing from the package you've received including price tags, labels, original packing, freebies & accessories 4. when non-returnable items are involved such as innerwear. lingerie etc.5. when items are tampered with or have missing serial numbers",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf4368ab00003100e3547e&view=FAQ
Cancellations and Returns,55bf65871f000012007dbead,how can i know the status of my refund?,"you can visit 'my orders' to know the status of your refund.
for orders cancelled before shipping, refunds are processed immediately. if the order has been shipped. refund will be processed as soon as the courier service provider confirms the return of the item(s).",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf65871f000012007dbead&view=FAQ
Cancellations and Returns,55bf649b1f000010007dbeac,what are the modes of refund available after cancellation?,"the different refund modes available are:
1. phonepe wallet - available for orders with select sellers.  you will get this option for eligible orders during cancellation
2. back to source - available for orders with all sellers. the amount is refunded to the payment mode that was originally used to pay for the order
3. neft transfer - available for all cash-on-delivery orders. as per policy, cash refunds are not possible",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf649b1f000010007dbeac&view=FAQ
Cancellations and Returns,55bf4f79ab00003a00e35480,when are refunds given?,"refunds are given when:
- the seller cannot provide a replacement- a dispute has been ruled in your favour in-line with buyer protection- sellers allow refunds on select categories under certain conditions
please check the seller's returns policy on the product page for more details.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf4f79ab00003a00e35480&view=FAQ
Cancellations and Returns,55f2a4685a00001400d984d2,i ordered a wrong item. can i return it?,the sellers' return policies don't support the return of item(s) ordered wrongly. you can refer the respective seller's returns policy on the product page.,https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55f2a4685a00001400d984d2&view=FAQ
Cancellations and Returns,564982896f00003d0038be6f,what should i do if i find the package open or tampered on delivery?,you can request for the item to be replaced by visiting 'my orders'. use the 'return' option & fill out the details of the issue so that we can help you.,https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=564982896f00003d0038be6f&view=FAQ
Cancellations and Returns,578c92951300001f005bfd82,can i change the address for the pick-up the of item(s) in my order?,"if the pincode of the new address is serviceable for pick-up, the address can be changed while creating the return. the address cannot be changed in case the new address is not serviceable.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=578c92951300001f005bfd82&view=FAQ
Cancellations and Returns,564980b72100001300515d86,why have i been asked to ship the item?,"when pickup facility is not available for your location as per the courier service providers, you may be asked to ship the item back to the seller. since the seller can arrange for a refund or a replacement only after the item reaches them, please make sure that the item is sent to the address mentioned in the return related email within 30 days of the email being sent to you.
the seller may not be able to proceed with the return request if the item does not reach the specified address within 30 days.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=564980b72100001300515d86&view=FAQ
Cancellations and Returns,55bf5d21ab00003a00e35482,what is the pickup process?,"once your return or replacement or exchange request is accepted, the pickup of the originally delivered product will be scheduled. an sms with more details will be sent to you on the day of the pickup.
in cases where pickup service is not available from the courier service providers at your location, you may be asked to ship the item back to the seller within 30 days of the return related email being sent to you.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf5d21ab00003a00e35482&view=FAQ
Cancellations and Returns,55bf6682ab00002c00e35485,i have requested for a return for my item. when will it happen?,"you can now track the status of your return easily right from your flipkart account or mobile app. just visit the 'my orders' page to see its status along with the date of pick-up and status of your refund if applicable.
you will also receive an email & sms with the details of your return.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf6682ab00002c00e35485&view=FAQ
Cancellations and Returns,55bf4fc6bc000041005be760,"i have requested a replacement, when will i get it?","you may visit 'my orders' to check the status of your replacement. in most locations, the replacement item is delivered to you at the time of pick-up. in all other areas, the replacement is initiated after the originally delivered item is picked up. please check the sms & email that will be sent to you for your replacement request for more details.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf4fc6bc000041005be760&view=FAQ
Cancellations and Returns,55bf5073d00000480011ffa8,i've still not received the refund in my bank account.,"if you have received a mail from us confirming your refund request, it means that the refund has been initiated. you can also contact your bank with the arn you would have received for an update on the status of your refund.
in the rare event of the amount not being credited by the date promised, you can contact us as we will work with the bank to get it done.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf5073d00000480011ffa8&view=FAQ
Cancellations and Returns,5b34df996e00003b00124e43,what are the refund timelines if i cancel or return a product?,"the refund timelines will depend on the payment modes as listed below:

debit card - 7-9 business days
credit - 7-9 business days
netbanking - 3-7 business days
cod - imps, 1 business days
emi (standard+no cost+debit card) - 7- 9 business days
flipkart pay later - 24 to 48 hours
gift card - 24 hours
phonepe: 


phonepe wallet - 24 hours 
phonepe upi - 1 business day 
phonepe credit/debit card - 7 business days

note: refunds will be credited to the payment source used at the time of placing an order.the mode of refund in case of payment through 'cash on delivery' will be imps
 ",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=5b34df996e00003b00124e43&view=FAQ
Cancellations and Returns,5b34e0074c0000340043893d,how will i get my refund for returning an item i paid for using 'cash on delivery' mode?,"for orders placed using 'cash on delivery' as the payment mode, refunds can be processed to your bank account via immediate payment service (imps). you can update the details of the bank account where you would like to receive the refund while creating the return request for an item.
you will need to update following information for the seller to process a refund to your account:

the bank account number
ifsc code
account holder's name
bank branch
bank name

imps refunds will typically be processed in one business day by sellers.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=5b34e0074c0000340043893d&view=FAQ
Cancellations and Returns,5b34e0b71400002200f63f4d,i have not received the reimbursement of my courier charges. what should i do?,"please follow the below-mentioned steps on our website to upload a scanned copy of the receipt from the courier service provider so that we can request the seller for a reimbursement:

 go to flipkart help center and select the relevant order for which the refund has been requested
 from the issue types, choose 'others' and select 'email us'
 now click on the attachment icon and select the image/document you wish to upload
 please include the return id in your email and click 'send email'

after the verification, the amount will be refunded to you as a gift card in your flipkart account.
note: this amount is not withdrawable to your bank account.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=5b34e0b71400002200f63f4d&view=FAQ
Cancellations and Returns,564981ee1800001b00f549a4,how will i get my refund for returning an item i paid for with cash on delivery?,"for your 'cash on delivery order, you will receive the refund in the form of neft. please update your bank account details after you choose this option.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=564981ee1800001b00f549a4&view=FAQ
Cancellations and Returns,55bf5f4eab00002f00e35484,how long does it take to cancel an order?,"cancellation of item(s) in an order happens immediately if the order hasn't been shipped yet by the seller. if your order has been shipped, it will be cancelled as soon as the courier service confirms that the shipment is being returned to the seller. orders from certain categories cannot be cancelled after 24 hours, please check the product page for more details.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf5f4eab00002f00e35484&view=FAQ
Cancellations and Returns,5757fa801800002b00a8af99,what are the checks done for an item that i'm returning?,"
during pick-up, your product will be checked for the following conditions:
 




correct product


imei/ name/ image/ brand/ serial number/ article number/ bar code should match and mrp tag should be undetached and clearly visible.




complete product


all in-the-box accessories (like remote control, starter kits, instruction manuals, chargers, headphones, etc.), freebies and combos (if any) should be present.




unused product


the product should be unused, unwashed, unsoiled, without any stains and with non-tampered quality check seals/ warranty seals (wherever applicable). before returning a mobile/ laptop/ tablet, the device should be formatted and screen lock (pin, pattern or fingerprint) must be disabled. icloud lock must be disabled and icloud deactivation done for apple devices.




undamaged product


the product (including sim trays/ charging port/ headphone port, back-panel etc.) should be undamaged and without any scratches, dents, tears or holes.




undamaged packaging


product's original packaging/ box should be undamaged.




 
the field executive may refuse to accept the return if any of the above conditions are not met.
for any products for which a refund is to be given, the refund will be processed once the returned product has been received by the seller.
 
view a complete list of all non-returnable products here.
",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=5757fa801800002b00a8af99&view=FAQ
Cancellations and Returns,64258e831cfc313bb07434b1,why do i see a return fee applicable to the order?,"

if your return requests are significantly higher than most customers, a return fee will apply to your order. this is levied to compensate sellers for the huge losses they incur as part of each return request. in case of an issue with the item, you can choose to exchange or replace it instead of returning it to avoid these fees. for more details, you can click 'know more' beside the return fee information on the app at the time of creating a return request.

",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=64258e831cfc313bb07434b1&view=FAQ
Cancellations and Returns,6425904ee7f1e15698f08c98,how is the return fee determined?,"the return fee is determined based on the selling price of the product. lower the selling price of the product, lower the return fee and vice versa.",https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=6425904ee7f1e15698f08c98&view=FAQ
Payment,55d2bd17a900004400b99943,what is flipkart's credit card emi payment option?,"with flipkart’s credit card emi option, you can choose to pay in easy installments of 3, 6, 9, 12, 18, or 24 months, with credit cards from the following banks:

hdfc
    
citi
    
icici
    
kotak
    
axis
    
induslnd
    
sbi
    
standard chartered
    
hsbc
    

*18 & 24 months emi options are available from select banks only. please refer to the table below for more details:




                banks
            

                supports 18 & 24 months tenure
            

                minimum order value to avail 18 & 24 months emi options
            



                hdfc
            

                yes
            

                ₹ 10,000
            



                citi
            

                yes
            

                ₹ 10,000
            



                icici
            

                yes
            

                ₹ 10,000
            



                kotak
            

                yes
            

                ₹ 4,000
            



                axis
            

                yes
            

                ₹ 4,000
            



                indusind
            

                yes
            

                ₹ 4,000
            



                sbi
            

                no
            

                na
            



                standard chartered
            

                yes
            

                ₹ 4,000
            



                hsbc
            

                no
            

                na
            


",https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55d2bd17a900004400b99943&view=FAQ
Payment,55f2a5e25b00001e00320233,how can i order for large quantities of the product as part of a corporate order?,you can write to corporatesales@flipkart.com for your corporate gifting requirements.,https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55f2a5e25b00001e00320233&view=FAQ
Payment,55bb5e1d2c00003700690dd7,how can i label my saved cards?,you can specify a card label at the time of saving a card on flipkart through the 'my account' section. you can also add/edit the label anytime through 'my saved cards' in the 'my account' section on flipkart.,https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55bb5e1d2c00003700690dd7&view=FAQ
Payment,55bb5d6a1f00001f007dbe9d,what is a 'card label'?,"a card label is a name you give to your card while saving it on flipkart.
 
this helps in identifying the card at the time of making a payment. even if you don't specify a card label, you can still identify the card by the first 2 and last 4 digits of the card number which are visible to you when the saved card is shown.",https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55bb5d6a1f00001f007dbe9d&view=FAQ
Payment,55bb51f23100003a007864d3,what is the 'save card' feature?,the 'save card' option lets you save your credit/debit cards on your flipkart account. this helps you complete your transactions in a quick and easy way.,https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55bb51f23100003a007864d3&view=FAQ
Payment,55bb45642c00002100690dce,how does flipkart prevent card fraud?,"online payments are monitored by our systems for any suspicious activity and some transactions are verified through extensive checks if we find that they are not authorised by the owner of the card. when we're not able to rule fraud out in rare cases, the transaction is kept on hold and we ask the shopper to share relevant proofs. this is done to make sure that the transaction is genuine and authorised.",https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55bb45642c00002100690dce&view=FAQ
